"id","activePlayer","firstName","franchiseId","franchiseName","gameTypeId","gamesPlayed","lastName","losses","mostGoalsAgainstDates","mostGoalsAgainstOneGame","mostSavesDates","mostSavesOneGame","mostShotsAgainstDates","mostShotsAgainstOneGame","mostShutoutsOneSeason","mostShutoutsSeasonIds","mostWinsOneSeason","mostWinsSeasonIds","overtimeLosses","playerId","positionCode","rookieGamesPlayed","rookieShutouts","rookieWins","seasons","shutouts","ties","wins"
336,FALSE,"Tom",26,"Carolina Hurricanes",2,34,"Barrasso",12,"2001-12-30, 2001-12-18, 2001-11-29",5,"2001-12-10",40,"2001-12-10",43,2,"20012002",13,"20012002",NA,8445275,"G",NA,NA,NA,1,2,5,13
363,FALSE,"Richard",26,"Carolina Hurricanes",2,6,"Brodeur",2,"1988-03-09",4,"1988-04-03",31,"1988-04-03",34,0,"19871988",4,"19871988",NA,8445694,"G",NA,NA,NA,1,0,0,4
369,FALSE,"Sean",26,"Carolina Hurricanes",2,256,"Burke",120,"1992-12-11",9,"1994-01-01",51,"1996-01-27, 1994-01-01",54,4,"19951996, 19961997",28,"19951996",NA,8445769,"G",NA,NA,NA,6,10,24,100
411,FALSE,"Mark",26,"Carolina Hurricanes",2,3,"Fitzpatrick",2,"2000-02-15",5,"2000-02-15",40,"2000-02-15",45,0,"19992000",0,"19992000",NA,8446829,"G",NA,NA,NA,1,0,0,0
425,FALSE,"John",26,"Carolina Hurricanes",2,122,"Garrett",57,"1982-01-02, 1980-10-11, 1980-03-08, 1980-02-26",9,"1981-02-14",50,"1981-02-14",57,0,"19791980, 19801981, 19811982",16,"19791980",NA,8447066,"G",NA,NA,NA,3,0,27,36
430,FALSE,"Mario",26,"Carolina Hurricanes",2,23,"Gosselin",13,"1993-04-10, 1993-03-24",6,"1993-03-22",45,"1993-03-22",50,0,"19921993, 19931994",5,"19921993",NA,8447303,"G",NA,NA,NA,2,0,1,5
470,FALSE,"Pat",26,"Carolina Hurricanes",2,5,"Jablonski",4,"1998-01-03",6,"1997-12-27",26,"1997-12-27",27,0,"19971998",1,"19971998",NA,8448207,"G",NA,NA,NA,1,0,0,1
490,FALSE,"Mike",26,"Carolina Hurricanes",2,252,"Liut",111,"1985-10-23",9,"1985-12-19",45,"1987-03-10",48,4,"19861987",31,"19861987",NA,8448865,"G",NA,NA,NA,6,13,17,115
508,FALSE,"Kirk",26,"Carolina Hurricanes",2,8,"McLean",2,"1998-03-06, 1998-01-06",4,"1998-03-06",46,"1998-03-06",50,0,"19971998",4,"19971998",NA,8449474,"G",NA,NA,NA,1,0,0,4
525,FALSE,"Greg",26,"Carolina Hurricanes",2,219,"Millen",120,"1983-02-23, 1982-12-06",11,"1982-01-30",52,"1982-01-30",54,2,"19831984",21,"19831984",NA,8449627,"G",NA,NA,NA,4,4,33,62
