"id","activeFranchise","firstSeasonId","franchiseId","gameTypeId","gamesPlayed","goalsAgainst","goalsFor","homeLosses","homeOvertimeLosses","homeTies","homeWins","lastSeasonId","losses","overtimeLosses","penaltyMinutes","pointPctg","points","roadLosses","roadOvertimeLosses","roadTies","roadWins","shootoutLosses","shootoutWins","shutouts","teamId","teamName","ties","triCode","wins"
1,1,19821983,23,2,2993,8902,8792,525,85,96,790,NA,1211,169,44773,0.5306,3176,686,84,123,604,84,78,196,1,"New Jersey Devils",219,"NJD",1394
2,1,19821983,23,3,257,634,697,53,0,NA,74,NA,120,0,4266,0.0039,2,67,0,NA,63,0,0,25,1,"New Jersey Devils",NA,"NJD",137
3,1,19721973,22,2,3788,11907,12045,678,84,170,963,NA,1587,166,57792,0.5133,3889,909,82,177,725,70,86,177,2,"New York Islanders",347,"NYI",1688
4,1,19721973,22,3,307,891,980,52,1,NA,94,NA,137,0,5654,0.013,8,85,2,NA,76,0,0,12,2,"New York Islanders",NA,"NYI",170
5,1,19261927,10,2,6560,20020,20041,1143,76,448,1614,NA,2716,153,86129,0.5127,6727,1573,77,360,1269,68,79,408,3,"New York Rangers",808,"NYR",2883
6,1,19261927,10,3,518,1447,1404,104,0,1,137,NA,266,0,8181,0,0,162,0,7,107,0,0,44,3,"New York Rangers",8,"NYR",244
7,1,19671968,16,3,449,1332,1335,97,0,NA,135,NA,218,0,9104,0.0045,4,121,0,NA,96,0,0,33,4,"Philadelphia Flyers",NA,"PHI",231
8,1,19671968,16,2,4171,12255,13690,584,93,193,1216,NA,1452,183,76208,0.5752,4798,868,90,264,863,92,53,248,4,"Philadelphia Flyers",457,"PHI",2079
9,1,19671968,17,2,4171,14049,13874,683,60,205,1138,NA,1734,151,66221,0.5203,4340,1051,91,178,765,54,83,189,5,"Pittsburgh Penguins",383,"PIT",1903
10,1,19671968,17,3,391,1131,1190,85,0,NA,113,NA,182,0,6106,0.0153,12,97,1,NA,96,0,0,30,5,"Pittsburgh Penguins",NA,"PIT",209
11,1,19241925,6,2,6626,19137,21112,960,92,376,1885,NA,2403,191,88570,0.5632,7464,1443,99,415,1356,82,68,506,6,"Boston Bruins",791,"BOS",3241
12,1,19241925,6,3,675,1907,1956,151,2,3,194,NA,337,0,10607,0.0296,40,186,2,3,138,0,0,49,6,"Boston Bruins",6,"BOS",332
13,1,19701971,19,2,3945,11966,12471,639,84,197,1053,NA,1564,167,60671,0.5305,4186,925,83,212,752,74,81,194,7,"Buffalo Sabres",409,"BUF",1805
14,1,19701971,19,3,256,765,763,54,0,NA,73,NA,132,0,4692,0,0,78,0,NA,51,0,0,18,7,"Buffalo Sabres",NA,"BUF",124
15,1,19171918,1,3,770,1951,2299,133,0,3,257,NA,320,0,12130,0,0,187,0,5,185,0,0,68,8,"Montréal Canadiens",8,"MTL",442
16,1,19171918,1,2,6787,18260,21791,881,95,381,2038,NA,2302,175,87484,0.5863,7958,1421,80,456,1435,66,69,543,8,"Montréal Canadiens",837,"MTL",3473
17,1,19921993,30,2,2195,6580,6250,413,93,60,533,NA,940,169,29684,0.5071,2226,527,76,55,438,79,58,137,9,"Ottawa Senators",115,"OTT",971
18,1,19921993,30,3,151,372,357,35,0,NA,37,NA,79,0,2102,0,0,44,0,NA,35,0,0,12,9,"Ottawa Senators",NA,"OTT",72
19,1,19271928,5,2,6516,19953,19980,1082,85,388,1702,NA,2696,174,92331,0.5136,6693,1614,89,385,1171,77,59,422,10,"Toronto Maple Leafs",773,"TOR",2873
20,1,19271928,5,3,545,1491,1398,120,0,2,149,NA,283,0,8550,0.011,12,163,1,1,110,0,0,50,10,"Toronto Maple Leafs",3,"TOR",259
21,1,19992000,35,2,902,3014,2465,204,38,26,183,20102011,437,78,13727,0.4473,807,233,40,19,159,29,37,41,11,"Atlanta Thrashers",45,"ATL",342
22,1,19992000,35,3,4,17,6,2,0,NA,0,20102011,4,0,115,0,0,2,0,NA,0,0,0,0,11,"Atlanta Thrashers",NA,"ATL",0
23,1,19971998,26,3,112,282,272,24,0,NA,32,NA,54,0,1310,0.0714,16,30,2,NA,26,0,0,11,12,"Carolina Hurricanes",NA,"CAR",58
24,1,19971998,26,2,1812,5140,4914,323,77,52,453,NA,725,174,19429,0.5281,1914,402,97,34,374,61,50,99,12,"Carolina Hurricanes",86,"CAR",827
25,1,19931994,33,2,2109,6122,5665,390,115,65,485,NA,870,208,29171,0.5045,2128,480,93,77,404,97,71,115,13,"Florida Panthers",142,"FLA",889
26,1,19931994,33,3,54,152,132,15,0,NA,13,NA,33,0,775,0,0,18,0,NA,8,0,0,3,13,"Florida Panthers",NA,"FLA",21
27,1,19921993,31,2,2194,6646,6216,414,67,56,559,NA,947,150,31086,0.5087,2232,533,83,56,426,59,68,124,14,"Tampa Bay Lightning",112,"TBL",985
28,1,19921993,31,3,174,455,479,43,0,NA,47,NA,75,0,2421,0.0632,22,32,0,NA,52,0,1,14,14,"Tampa Bay Lightning",NA,"TBL",99
29,1,19741975,24,2,3633,11553,11516,620,83,153,959,NA,1467,163,57455,0.5321,3866,847,80,150,741,71,68,178,15,"Washington Capitals",303,"WSH",1700
30,1,19741975,24,3,295,837,836,77,1,NA,75,NA,156,1,5152,0.0644,38,79,2,NA,63,1,0,19,15,"Washington Capitals",NA,"WSH",138
31,1,19261927,11,3,548,1669,1566,104,0,1,166,NA,275,0,8855,0,0,171,1,4,102,0,0,32,16,"Chicago Blackhawks",5,"CHI",268
32,1,19261927,11,2,6560,19687,19537,1128,86,410,1655,NA,2761,173,92285,0.5039,6611,1633,87,404,1157,70,75,439,16,"Chicago Blackhawks",814,"CHI",2812
33,1,19321933,12,2,6293,18881,19550,940,99,368,1741,NA,2446,183,84403,0.5354,6738,1506,84,405,1150,76,71,423,17,"Detroit Red Wings",773,"DET",2891
34,1,19321933,12,3,618,1565,1745,126,0,0,188,NA,293,0,8735,0,0,167,0,0,137,0,0,66,17,"Detroit Red Wings",0,"DET",325
35,1,19981999,34,2,1731,4708,4730,282,73,34,477,NA,656,163,19933,0.5566,1927,374,90,26,375,70,74,134,18,"Nashville Predators",60,"NSH",852
36,1,19981999,34,3,121,340,307,27,0,NA,34,NA,67,0,1377,0.0744,18,40,2,NA,20,0,0,6,18,"Nashville Predators",NA,"NSH",54
37,1,19671968,18,2,4173,12688,12827,674,72,218,1122,NA,1645,167,65608,0.534,4457,971,95,214,807,69,74,252,19,"St. Louis Blues",432,"STL",1929
38,1,19671968,18,3,404,1227,1103,92,3,NA,108,NA,221,1,7730,0.0396,32,129,0,NA,74,1,0,21,19,"St. Louis Blues",NA,"STL",182
39,1,19801981,21,3,221,730,696,52,1,NA,60,NA,118,0,5118,0.0045,2,66,1,NA,43,0,0,14,20,"Calgary Flames",NA,"CGY",103
40,1,19801981,21,2,3154,9821,10257,508,69,135,863,NA,1236,150,55423,0.5414,3415,728,81,136,634,65,52,144,20,"Calgary Flames",271,"CGY",1497
41,1,19951996,27,2,1978,5458,5857,327,62,55,543,NA,728,142,25410,0.5705,2257,401,80,46,464,42,73,124,21,"Colorado Avalanche",101,"COL",1007
42,1,19951996,27,3,219,560,647,44,1,NA,69,NA,94,1,2970,0.0411,18,50,0,NA,55,0,0,23,21,"Colorado Avalanche",NA,"COL",124
43,1,19791980,25,2,3235,10633,10776,587,74,125,830,NA,1337,167,55008,0.5204,3367,750,93,137,639,69,75,122,22,"Edmonton Oilers",262,"EDM",1469
44,1,19791980,25,3,272,825,994,48,0,NA,91,NA,112,0,5756,0,0,64,0,NA,69,0,0,14,22,"Edmonton Oilers",NA,"EDM",160
