activeFranchise,gameTypeId,lastSeasonId,id,firstSeasonId,franchiseId,gamesPlayed,goalsAgainst,goalsFor,homeLosses,homeOvertimeLosses,homeTies,homeWins,losses,overtimeLosses,penaltyMinutes,pointPctg,points,roadLosses,roadOvertimeLosses,roadTies,roadWins,shootoutLosses,shootoutWins,shutouts,teamId,teamName.x,ties,abbreviation.x,wins,name,abbreviation.y,teamName.y,venue.name,venue.city,division.id,division.name,conference.id,conference.name,perc.total.games.win,perc.total.games.loss,perc.home.win,perc.home.loss,perc.road.win,perc.road.loss
1,2,NA,1,19821983,23,2993,8902,8792,525,85,96,790,1211,169,44773,0.5306,3176,686,84,123,604,84,78,196,1,New Jersey Devils,219,NJD,1394,New Jersey Devils,NJD,Devils,Prudential Center,Newark,25,MassMutual East,6,Eastern,46.58,40.46,52.81,35.09,40.35,45.82
1,2,NA,1,19821983,23,2993,8902,8792,525,85,96,790,1211,169,44773,0.5306,3176,686,84,123,604,84,78,196,1,New Jersey Devils,219,NJD,1394,New Jersey Devils,NJD,Devils,Prudential Center,Newark,25,MassMutual East,6,Eastern,46.58,40.46,52.81,35.09,40.35,45.82
1,2,NA,3,19721973,22,3788,11907,12045,678,84,170,963,1587,166,57792,0.5133,3889,909,82,177,725,70,86,177,2,New York Islanders,347,NYI,1688,New York Islanders,NYI,Islanders,Nassau Veterans Memorial Coliseum,Uniondale,25,MassMutual East,6,Eastern,44.56,41.9,50.82,35.78,38.3,48.02
1,2,NA,3,19721973,22,3788,11907,12045,678,84,170,963,1587,166,57792,0.5133,3889,909,82,177,725,70,86,177,2,New York Islanders,347,NYI,1688,New York Islanders,NYI,Islanders,Nassau Veterans Memorial Coliseum,Uniondale,25,MassMutual East,6,Eastern,44.56,41.9,50.82,35.78,38.3,48.02
1,2,NA,5,19261927,10,6560,20020,20041,1143,76,448,1614,2716,153,86129,0.5127,6727,1573,77,360,1269,68,79,408,3,New York Rangers,808,NYR,2883,New York Rangers,NYR,Rangers,Madison Square Garden,New York,25,MassMutual East,6,Eastern,43.95,41.4,49.19,34.84,38.7,47.97
1,2,NA,5,19261927,10,6560,20020,20041,1143,76,448,1614,2716,153,86129,0.5127,6727,1573,77,360,1269,68,79,408,3,New York Rangers,808,NYR,2883,New York Rangers,NYR,Rangers,Madison Square Garden,New York,25,MassMutual East,6,Eastern,43.95,41.4,49.19,34.84,38.7,47.97
1,2,NA,8,19671968,16,4171,12255,13690,584,93,193,1216,1452,183,76208,0.5752,4798,868,90,264,863,92,53,248,4,Philadelphia Flyers,457,PHI,2079,Philadelphia Flyers,PHI,Flyers,Wells Fargo Center,Philadelphia,25,MassMutual East,6,Eastern,49.84,34.81,58.29,28,41.39,41.63
1,2,NA,8,19671968,16,4171,12255,13690,584,93,193,1216,1452,183,76208,0.5752,4798,868,90,264,863,92,53,248,4,Philadelphia Flyers,457,PHI,2079,Philadelphia Flyers,PHI,Flyers,Wells Fargo Center,Philadelphia,25,MassMutual East,6,Eastern,49.84,34.81,58.29,28,41.39,41.63
1,2,NA,9,19671968,17,4171,14049,13874,683,60,205,1138,1734,151,66221,0.5203,4340,1051,91,178,765,54,83,189,5,Pittsburgh Penguins,383,PIT,1903,Pittsburgh Penguins,PIT,Penguins,PPG Paints Arena,Pittsburgh,25,MassMutual East,6,Eastern,45.62,41.57,54.55,32.74,36.69,50.41
1,2,NA,9,19671968,17,4171,14049,13874,683,60,205,1138,1734,151,66221,0.5203,4340,1051,91,178,765,54,83,189,5,Pittsburgh Penguins,383,PIT,1903,Pittsburgh Penguins,PIT,Penguins,PPG Paints Arena,Pittsburgh,25,MassMutual East,6,Eastern,45.62,41.57,54.55,32.74,36.69,50.41
1,2,NA,11,19241925,6,6626,19137,21112,960,92,376,1885,2403,191,88570,0.5632,7464,1443,99,415,1356,82,68,506,6,Boston Bruins,791,BOS,3241,Boston Bruins,BOS,Bruins,TD Garden,Boston,25,MassMutual East,6,Eastern,48.91,36.27,56.9,28.98,40.93,43.56
1,2,NA,11,19241925,6,6626,19137,21112,960,92,376,1885,2403,191,88570,0.5632,7464,1443,99,415,1356,82,68,506,6,Boston Bruins,791,BOS,3241,Boston Bruins,BOS,Bruins,TD Garden,Boston,25,MassMutual East,6,Eastern,48.91,36.27,56.9,28.98,40.93,43.56
1,2,NA,13,19701971,19,3945,11966,12471,639,84,197,1053,1564,167,60671,0.5305,4186,925,83,212,752,74,81,194,7,Buffalo Sabres,409,BUF,1805,Buffalo Sabres,BUF,Sabres,KeyBank Center,Buffalo,25,MassMutual East,6,Eastern,45.75,39.65,53.37,32.39,38.13,46.91
