id,activePlayer,firstName,franchiseId,franchiseName,gameTypeId,gamesPlayed,lastName,playerId,positionCode,rookieGamesPlayed,seasons
235,FALSE,Don,15,Dallas Stars,2,315,Beaupre,8445381,G,44,9
236,FALSE,Bob,28,Arizona Coyotes,2,281,Essensa,8446719,G,36,7
237,FALSE,Tony,11,Chicago Blackhawks,2,873,Esposito,8446720,G,63,15
238,FALSE,Grant,25,Edmonton Oilers,2,423,Fuhr,8446991,G,48,10
239,FALSE,Ron,16,Philadelphia Flyers,2,489,Hextall,8447775,G,66,11
240,FALSE,Curtis,18,St. Louis Blues,2,280,Joseph,8448382,G,30,6
241,FALSE,Olie,24,Washington Capitals,2,711,Kolzig,8448535,G,14,16
242,FALSE,Mike,18,St. Louis Blues,2,347,Liut,8448865,G,NA,6
243,FALSE,Kirk,20,Vancouver Canucks,2,516,McLean,8449474,G,41,11
244,FALSE,Gilles,13,Cleveland Barons,2,250,Meloche,8449550,G,56,7
245,FALSE,Greg,18,St. Louis Blues,2,209,Millen,8449627,G,NA,6
246,FALSE,Turk,5,Toronto Maple Leafs,2,629,Broda,8449837,G,45,14
247,FALSE,Gerry,6,Boston Bruins,2,416,Cheevers,8449853,G,22,12
248,FALSE,Alec,3,St. Louis Eagles,2,294,Connell,8449856,G,30,8
249,FALSE,Jake,4,Hamilton Tigers,2,78,Forbes,8449918,G,NA,3
250,FALSE,Bert,2,Montreal Wanderers,2,4,Lindsay,8450014,G,4,1
251,FALSE,Howard,4,Hamilton Tigers,2,1,Lockhart,8450017,G,1,3
252,FALSE,Cesare,15,Dallas Stars,2,420,Maniago,8450020,G,NA,9
253,FALSE,Joe,9,Philadelphia Quakers,2,87,Miller,8450043,G,NA,3
254,FALSE,Terry,12,Detroit Red Wings,2,734,Sawchuk,8450111,G,70,14
255,FALSE,Flat,7,Montreal Maroons,2,107,Walsh,8450144,G,1,7
256,FALSE,Roy,8,Brooklyn Americans,2,360,Worters,8450153,G,NA,9
257,FALSE,Roy,9,Philadelphia Quakers,2,123,Worters,8450153,G,35,3
258,FALSE,Daren,31,Tampa Bay Lightning,2,206,Puppa,8450627,G,NA,7
259,FALSE,Bill,25,Edmonton Oilers,2,449,Ranford,8450651,G,NA,10
260,FALSE,Mike,10,New York Rangers,2,666,Richter,8450833,G,45,14
261,FALSE,Patrick,1,Montréal Canadiens,2,551,Roy,8451033,G,47,12
262,FALSE,Patrick,27,Colorado Avalanche,2,478,Roy,8451033,G,NA,8
263,FALSE,Billy,22,New York Islanders,2,674,Smith,8451525,G,37,17
264,FALSE,Ed,18,St. Louis Blues,2,137,Staniowski,8451655,G,29,6
265,FALSE,Mike,21,Calgary Flames,2,527,Vernon,8452217,G,55,13
266,FALSE,Martin,23,New Jersey Devils,2,1259,Brodeur,8455710,G,47,21
267,FALSE,Chris,12,Detroit Red Wings,2,565,Osgood,8458568,G,41,14
268,FALSE,Marty,15,Dallas Stars,2,509,Turco,8460612,G,26,9
269,FALSE,Evgeni,29,San Jose Sharks,2,563,Nabokov,8460705,G,66,10
270,FALSE,Jean-Sebastien,32,Anaheim Ducks,2,447,Giguere,8462044,G,NA,9
271,FALSE,Roberto,33,Florida Panthers,2,572,Luongo,8466141,G,47,11
272,TRUE,Craig,30,Ottawa Senators,2,435,Anderson,8467950,G,NA,10
273,TRUE,Ryan,19,Buffalo Sabres,2,540,Miller,8468011,G,48,11
275,FALSE,Kari,15,Dallas Stars,2,445,Lehtonen,8470140,G,NA,9
276,FALSE,Josh,37,Minnesota Wild,2,151,Harding,8470216,G,29,9
277,FALSE,Cam,26,Carolina Hurricanes,2,668,Ward,8470320,G,28,13
278,TRUE,Marc-Andre,17,Pittsburgh Penguins,2,691,Fleury,8470594,G,50,13
279,TRUE,Marc-Andre,38,Vegas Golden Knights,2,192,Fleury,8470594,G,NA,4
280,TRUE,Pekka,34,Nashville Predators,2,683,Rinne,8471469,G,52,15
281,FALSE,Ondrej,35,Winnipeg Jets,2,119,Pavelec,8471715,G,12,10
282,TRUE,Jonathan,14,Los Angeles Kings,2,666,Quick,8471734,G,44,14
283,FALSE,Niklas,37,Minnesota Wild,2,409,Backstrom,8473404,G,NA,9
284,TRUE,Sergei,36,Columbus Blue Jackets,2,374,Bobrovsky,8475683,G,NA,7
285,TRUE,Maxime,38,Vegas Golden Knights,2,17,Lagace,8476509,G,16,2
286,TRUE,Oscar,38,Vegas Golden Knights,2,6,Dansk,8476861,G,4,3
287,TRUE,Malcolm,38,Vegas Golden Knights,2,63,Subban,8476876,G,22,3
288,TRUE,Dylan,38,Vegas Golden Knights,2,1,Ferguson,8480263,G,1,1
289,FALSE,Clint,7,Montreal Maroons,2,204,Benedict,8449817,G,NA,6
290,FALSE,Tiny,6,Boston Bruins,2,468,Thompson,8450127,G,44,11
291,FALSE,Miikka,21,Calgary Flames,2,576,Kiprusoff,8462147,G,NA,9
292,TRUE,Henrik,10,New York Rangers,2,887,Lundqvist,8468685,G,53,15
293,FALSE,Kari,35,Winnipeg Jets,2,204,Lehtonen,8470140,G,38,5
